./push_swap `ruby -e "puts (0..99).to_a.shuffle.join(' ')"`
op[1232] range[135] chunck[2] size[100]
op[1232] range[136] chunck[2] size[100]
op[1232] range[137] chunck[2] size[100]
op[1232] range[138] chunck[2] size[100]
op[1232] range[139] chunck[2] size[100]
op[1232] range[140] chunck[2] size[100]
op[1232] range[141] chunck[2] size[100]
op[1232] range[142] chunck[2] size[100]
op[1232] range[143] chunck[2] size[100]
op[1232] range[144] chunck[2] size[100]
op[1232] range[145] chunck[2] size[100]
op[1232] range[146] chunck[2] size[100]
op[1232] range[147] chunck[2] size[100]
op[1232] range[148] chunck[2] size[100]
op[1232] range[149] chunck[2] size[100]
op[1232] range[150] chunck[2] size[100]
new chunck 3
op[907] range[0] chunck[3] size[100]
op[915] range[1] chunck[3] size[100]
op[878] range[2] chunck[3] size[100]
op[806] range[3] chunck[3] size[100]
op[850] range[4] chunck[3] size[100]
op[883] range[5] chunck[3] size[100]
op[898] range[6] chunck[3] size[100]
op[876] range[7] chunck[3] size[100]
op[928] range[8] chunck[3] size[100]
op[934] range[9] chunck[3] size[100]
op[887] range[10] chunck[3] size[100]
op[983] range[11] chunck[3] size[100]
op[980] range[12] chunck[3] size[100]
op[926] range[13] chunck[3] size[100]
op[1003] range[14] chunck[3] size[100]
op[1021] range[15] chunck[3] size[100]
op[1037] range[16] chunck[3] size[100]
op[1027] range[17] chunck[3] size[100]
op[1091] range[18] chunck[3] size[100]
op[1075] range[19] chunck[3] size[100]
op[1060] range[20] chunck[3] size[100]
op[1096] range[21] chunck[3] size[100]
op[1082] range[22] chunck[3] size[100]
op[1129] range[23] chunck[3] size[100]
op[1181] range[24] chunck[3] size[100]
op[1279] range[25] chunck[3] size[100]
op[1261] range[26] chunck[3] size[100]
op[1284] range[27] chunck[3] size[100]
op[1249] range[28] chunck[3] size[100]
op[1269] range[29] chunck[3] size[100]
op[1127] range[30] chunck[3] size[100]
op[1179] range[31] chunck[3] size[100]
op[1160] range[32] chunck[3] size[100]
op[1173] range[33] chunck[3] size[100]
op[1335] range[34] chunck[3] size[100]
op[1177] range[35] chunck[3] size[100]
op[1344] range[36] chunck[3] size[100]
op[1376] range[37] chunck[3] size[100]
op[1350] range[38] chunck[3] size[100]
op[1310] range[39] chunck[3] size[100]
op[1315] range[40] chunck[3] size[100]
op[1350] range[41] chunck[3] size[100]
op[1330] range[42] chunck[3] size[100]
op[1332] range[43] chunck[3] size[100]
op[1384] range[44] chunck[3] size[100]
op[1399] range[45] chunck[3] size[100]
op[1506] range[46] chunck[3] size[100]
op[1411] range[47] chunck[3] size[100]
op[1528] range[48] chunck[3] size[100]
op[1587] range[49] chunck[3] size[100]
op[1554] range[50] chunck[3] size[100]
op[1605] range[51] chunck[3] size[100]
op[1608] range[52] chunck[3] size[100]
op[1691] range[53] chunck[3] size[100]
op[1761] range[54] chunck[3] size[100]
op[1694] range[55] chunck[3] size[100]
op[1637] range[56] chunck[3] size[100]
op[1585] range[57] chunck[3] size[100]
op[1549] range[58] chunck[3] size[100]
op[1459] range[59] chunck[3] size[100]
op[1395] range[60] chunck[3] size[100]
op[1334] range[61] chunck[3] size[100]
op[1268] range[62] chunck[3] size[100]
op[1272] range[63] chunck[3] size[100]
op[1250] range[64] chunck[3] size[100]
op[1222] range[65] chunck[3] size[100]
op[1208] range[66] chunck[3] size[100]
op[1202] range[67] chunck[3] size[100]
op[1186] range[68] chunck[3] size[100]
op[1204] range[69] chunck[3] size[100]
op[1181] range[70] chunck[3] size[100]
op[1197] range[71] chunck[3] size[100]
op[1208] range[72] chunck[3] size[100]
op[1188] range[73] chunck[3] size[100]
op[1201] range[74] chunck[3] size[100]
op[1215] range[75] chunck[3] size[100]
op[1231] range[76] chunck[3] size[100]
op[1239] range[77] chunck[3] size[100]
op[1245] range[78] chunck[3] size[100]
op[1248] range[79] chunck[3] size[100]
op[1232] range[80] chunck[3] size[100]
op[1230] range[81] chunck[3] size[100]
op[1226] range[82] chunck[3] size[100]
op[1228] range[83] chunck[3] size[100]
op[1222] range[84] chunck[3] size[100]
op[1206] range[85] chunck[3] size[100]
op[1206] range[86] chunck[3] size[100]
op[1206] range[87] chunck[3] size[100]
op[1204] range[88] chunck[3] size[100]
op[1190] range[89] chunck[3] size[100]
op[1198] range[90] chunck[3] size[100]
op[1195] range[91] chunck[3] size[100]
op[1193] range[92] chunck[3] size[100]
op[1187] range[93] chunck[3] size[100]
op[1177] range[94] chunck[3] size[100]
op[1183] range[95] chunck[3] size[100]
op[1183] range[96] chunck[3] size[100]
op[1183] range[97] chunck[3] size[100]
op[1183] range[98] chunck[3] size[100]
op[1183] range[99] chunck[3] size[100]
op[1183] range[100] chunck[3] size[100]
op[1183] range[101] chunck[3] size[100]
op[1183] range[102] chunck[3] size[100]
op[1183] range[103] chunck[3] size[100]
op[1183] range[104] chunck[3] size[100]
op[1183] range[105] chunck[3] size[100]
op[1183] range[106] chunck[3] size[100]
op[1183] range[107] chunck[3] size[100]
op[1183] range[108] chunck[3] size[100]
op[1183] range[109] chunck[3] size[100]
op[1183] range[110] chunck[3] size[100]
op[1183] range[111] chunck[3] size[100]
op[1183] range[112] chunck[3] size[100]
op[1183] range[113] chunck[3] size[100]
op[1183] range[114] chunck[3] size[100]
op[1183] range[115] chunck[3] size[100]
op[1183] range[116] chunck[3] size[100]
op[1183] range[117] chunck[3] size[100]
op[1183] range[118] chunck[3] size[100]
op[1183] range[119] chunck[3] size[100]
op[1183] range[120] chunck[3] size[100]
op[1183] range[121] chunck[3] size[100]
op[1183] range[122] chunck[3] size[100]
op[1183] range[123] chunck[3] size[100]
op[1183] range[124] chunck[3] size[100]
op[1183] range[125] chunck[3] size[100]
op[1183] range[126] chunck[3] size[100]
op[1183] range[127] chunck[3] size[100]
op[1183] range[128] chunck[3] size[100]
op[1183] range[129] chunck[3] size[100]
op[1183] range[130] chunck[3] size[100]
op[1183] range[131] chunck[3] size[100]
op[1183] range[132] chunck[3] size[100]
op[1183] range[133] chunck[3] size[100]
op[1183] range[134] chunck[3] size[100]
op[1183] range[135] chunck[3] size[100]
op[1183] range[136] chunck[3] size[100]
op[1183] range[137] chunck[3] size[100]
op[1183] range[138] chunck[3] size[100]
op[1183] range[139] chunck[3] size[100]
op[1183] range[140] chunck[3] size[100]
op[1183] range[141] chunck[3] size[100]
op[1183] range[142] chunck[3] size[100]
op[1183] range[143] chunck[3] size[100]
op[1183] range[144] chunck[3] size[100]
op[1183] range[145] chunck[3] size[100]
op[1183] range[146] chunck[3] size[100]
op[1183] range[147] chunck[3] size[100]
op[1183] range[148] chunck[3] size[100]
op[1183] range[149] chunck[3] size[100]
op[1183] range[150] chunck[3] size[100]
new chunck 4
